=== Tool Life Management ===
Title	Tool Master	Tool Record	Month	Customer Type	Year	No of Parts	Machine clamping force (T)	Tooling cost	Currency	Tool description	Master Type	Warranty (Parts)	Tool Owner	Type of Sprue	Overall Cycle time (s)	Type of press	Standard daily capacity (Parts)	Max daily capacity (Parts)	Part Gross Weight (g)	Part Net Weight (g)	Strip width (mm)	Pitch (mm)	Lead Time (months)	Plant	Tool Type	Plant:Title	Plant:Site	Tool Type:Title	End_of_production	EOP	ID	Created	Modified	MasterRecord	ParentTitle	ToolCurrentStatus	Data	Created By	Modified By	TestCurrency	Property	Part per cycle	PartNumberReference	PartReference	Tool Maker	Warranty Alert	Attachments
TP-2006-05-150-649					2006	5	649.0			Carcasse pour en 089P / 090I / 093L / 140J / 228J (/ 656K / 625G / 592K)		19570192	NIDEC			H	5760.0						2.3	AVO El Fahs	Thermoplastic Injection			TP								In use								Carcasse pour en 089P / 090I / 093L / 140J / 228J (/ 656K / 625G / 592K)			
TP-2007-02-50-412					2007	2	412.0			PASSE FIL SUPERIEUR DT20 / T8X		2000000	NIDEC			H	2979.0						3.45	AVO El Fahs	Thermoplastic Injection			TP																AA08116141E			
TP-2013-04-150-521					2013	4	521.0	47600	EURO	Overmolded plate 11 TA - DENSO		12000000	NIDEC	cold runner		H	5574.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA13116656K, AA13116625G, AA16116812I			
TP-2014-04-150-577					2014	4	577.0	71800	EURO	Overmolded plate 11 TA - 3 Speed		16000000	NIDEC	cold runner		H	5574.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA13116592K			
TP-2007-02-50-413					2007	2	413.0			PASSE FIL INFERIEUR DT20 / T8X		2000000	NIDEC			H	3757.0						3.45	AVO El Fahs	Thermoplastic Injection			TP																AA08116142F			
TP-1999-04-50-251					1999	4	251.0			PASSE FIL 10T		3107728	NIDEC			H	5760.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								Production end								AZX561P0101			
TP-2012-04-50-486					2012	4	486.0	41250	EURO	Connecteur B8		4000000	NIDEC			H	5760.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA13116619J			
TP-2003-XX-XX-142					2003	XX	142.0			NOUVEAU CONNECTEUR 11TA		1000000	NIDEC												Thermoplastic Injection			TP								Production end											
ST-2003-XX-XX-141					2003	XX	141.0			Contact plate Sunroof		10000000	NIDEC			V								AVO El Fahs	Stamping			ST								Production end											
TP-2006-XX-XX-374					2006	XX	374.0			PLATINE SUNROOF		1000000	NIDEC											AVO El Fahs	Thermoplastic Injection			TP								Production end											
ST-2007-XX-XX-375					2007	XX	375.0			Porte balai NEM 1		10000000	INTEVA			V								AVO El Fahs	Stamping			ST								In use											
ST-2007-XX-XX-376					2007	XX	376.0			Lame ressort NEM 1		10000000	INTEVA			V								AVO El Fahs	Stamping			ST								Mold scraped											
ST-2007-02-XX-377					2007	2	377.0			Patte de masse NEM 1		20000000	INTEVA			V								AVO El Fahs	Stamping			ST								Mold scraped											
TP-2007-04-80-289					2007	4	289.0			Connecteur PFA		4000000	NIDEC			V	4800.0							AVO El Fahs	Thermoplastic Injection			TP								Production end											
ST-2007-02-50-290					2007	2	290.0			Inserts PFA		20000000	NIDEC			V	201600.0							AVO El Fahs	Stamping			ST								Production end											
ST-2008-02-XX-291					2008	2	291.0			LANGUETTE DENSO DUCON 6.3		20000000	NIDEC			V	52048.0						2.76	AVO El Fahs	Stamping			ST								In use								AA08106132E			
ST-2005-01-XX-342					2005	1	342.0			CAGE BALAI LAITON		0	HOFFMANN			V	62609.0							AVO El Fahs	Stamping			ST								Production end								A60100007			
ST-2008-03-25-340					2008	3	340.0			PT JOHNSON		0	AVO Germany			V	9000.0							AVO El Fahs	Stamping			ST								In use								A60100028			
ST-2005-XX-25-343					2005	XX	343.0			Pièce terminale		0	BOSCH			V								AVO El Fahs	Stamping			ST								Production end								A60100257			
ST-2011-02-40-487					2011	2	487.0			COSSE		0	AVO Germany			V	32481.0							AVO El Fahs	Stamping			ST								In use								A60100368			
ST-2010-01-25-292					2010	1	292.0			COSSE		0	BOSCH			V	32481.0							AVO El Fahs	Stamping			ST								In use								A60100414			
ST-2004-01-40-431					2004	1	431.0			LANGUETTE CONNECTEUR FAURECIA		500000	FAURECIA			V	38919.0						2.99	AVO El Fahs	Stamping			ST								In use								A60100458			
ST-2004-01-40-293					2004	1	293.0			LANGUETTE CONNECTEUR FAURECIA		500000	FAURECIA			V	38919.0						2.99	AVO El Fahs	Stamping			ST								In use								A60100459			
ST-2010-02-40-458					2010	2	458.0			COSSE		0	BOSCH			V	32481.0							AVO El Fahs	Stamping			ST								In use								A60100548			
ST-2008-01-63-294					2008	1	294.0			CAGE BALAI DROITE		0	FAURECIA			V	62609.0							AVO El Fahs	Stamping			ST								In use								A60100755			
ST-2008-01-63-414					2008	1	414.0			CAGE BALAI GAUCHE		0	FAURECIA			V	62609.0							AVO El Fahs	Stamping			ST								In use								A60100760			
ST-2010-02-25-295					2010	2	295.0			COSSE		4000000	ISKRA			V	77838.0						2.76	AVO Poitiers	Stamping			ST								In use								A60100858, A-TE-0015			
ST-2010-01-25-432					2010	1	432.0			COSSE		2000000	AVO Tianjin			V	38919.0						2.76	AVO Poitiers	Stamping			ST								In use								A60100861, A-TE-0017			
ST-XXXX-01-40-433					XXXX	1	433.0			LANGUETTE		0	BROSE				38919.0							AVO El Fahs	Stamping			ST								Production end								A60101035			
ST-2008-01-80-296					2008	1	296.0			GAINE PB		0	MOOG Italia			V	62609.0							AVO El Fahs	Stamping			ST								In use								A60101090			
ST-XXXX-XX-XX-152					XXXX	XX	152.0			CAGE BALAI		0	BOSCH											AVO El Fahs	Stamping			ST								Production end								A60101720			
ST-2009-01-XX-434					2009	1	434.0			GAINE PORTE BALAI		10000000	SINTECH			V	62609.0						3.22	AVO El Fahs	Stamping			ST								In use								A192827			
ST-2008-01-80-415					2008	1	415.0			GAINE		0	AVO Germany			V	59178.0							AVO El Fahs	Stamping			ST								In use								A601002628			
ST-2011-01-100-488					2011	1	488.0			GUIDE LAITON		0	R&S manufacturing			V	62609.0							AVO El Fahs	Stamping			ST								In use								A60100494			
ST-2008-01-80-297					2008	1	297.0			GUIDE BALAI SANS FREIN		0	SINTECH			V	62609.0							AVO El Fahs	Stamping			ST								In use								A60100736			
ST-2008-01-80-298					2008	1	298.0			GUIDE BALAI		1000000	AVO Germany			V	62609.0						3.22	AVO El Fahs	Stamping			ST								In use								A60100737			
ST-2008-01-80-416					2008	1	416.0			CONNEXION		0	ISKRA			V	32481.0							AVO El Fahs	Stamping			ST								In use								A60101158			
ST-2008-01-40-417					2008	1	417.0			COSSE		1000000	VALEO			V	32481.0						2.76	AVO El Fahs	Stamping			ST								In use								A60101724			
ST-2008-02-63-299					2008	2	299.0			TERMINAL DENSO FCI		20000000	NIDEC			V	52048.0						2.76	AVO El Fahs	Stamping			ST								In use								AA08106139L			
ST-2009-02-63-300					2009	2	300.0			LANGUETTE DUCON 6.3 DOUBLON		20000000	NIDEC			V	52048.0						2.99	AVO El Fahs	Stamping			ST								In use								AA09106217H			
TP-2010-16-100-453					2010	16	453.0			SLEEVE		16000000	TI				43200.0						3.45	AVO Monterrey	Thermoplastic Injection			TP								In use								16-0022			
ST-XXXX-XX-XX-301					XXXX	XX	301.0					0	AVO Mx											AVO Monterrey	Stamping			ST								Production end								53-0696			
ST-XXXX-XX-XX-302					XXXX	XX	302.0					0	No tool owner											AVO Chennai	Stamping			ST								In use								40301033			
ST-2008-02-63-418					2008	2	418.0			LXB LEADFRAME		30000000	COMSTAR			V	72000.0							AVO Monterrey	Stamping			ST								In use								50-0422			
ST-2007-01-80-378					2007	1	378.0			95037-3 BRUSHBOX HSPEED TRICO		3000000	TRICO			V	43200.0						3.45	AVO Monterrey	Stamping			ST								In use								50-0613			
ST-2013-01-80-522					2013	1	522.0			95037-2 BRUSHBOX LS TRICO		3000000	TRICO			V	43200.0						3.45	AVO Monterrey	Stamping			ST								In use								50-0614			
ST-2010-01-60-459					2010	1	459.0			DREMEL VELOCITY BRUSH BOX		5000000	Bosch (Dremel)			V	43200.0						3.45	AVO Monterrey	Stamping			ST								In use								50-0637			
ST-2011-01-60-489					2011	1	489.0			BRUSH HOLDER BOX BUCKSHOT		3000000	No tool owner			V	28800.0						4.14	AVO Monterrey	Stamping			ST								In use								50-0647			
ST-2012-01-40-490					2012	1	490.0			Short wisker terminal		20000000	VALEO			V	18000.0						2.76	AVO Monterrey	Stamping			ST								In use								53-0592, 53-0738			
ST-2009-01-XX-435					2009	1	435.0			DY HB5 contact		0	DY			V	43200.0							AVO Kunshan	Stamping			ST																D10120011			
ST-2009-01-XX-436					2009	1	436.0			DY HB5 contact terminal		15000000	DY			V	43200.0						3.45	AVO Kunshan	Stamping			ST								In use								D10120010			
ST-2009-02-XX-437					2009	2	437.0			DY HB5 Terminal brush		20000000	DY			V	57600.0						2.99	AVO Kunshan	Stamping			ST								In use								D10120001, D10120009			
ST-2009-01-XX-438					2009	1	438.0			DY terminal (A) SN3		5000000	DY			V	43200.0						3.22	AVO Kunshan	Stamping			ST								In use								D20110003			
ST-2009-01-XX-439					2009	1	439.0			DY terminal (B)		5000000	DY			V	43200.0						2.99	AVO Kunshan	Stamping			ST								In use								D20110001, 117039910, 117039203			
ST-2008-01-XX-303					2008	1	303.0			MNG2 Brush box		5000000	VALEO			V	43200.0						4.14	AVO Kunshan	Stamping			ST								Mold scraped								V20220006			
ST-2013-01-XX-304					2013	1	304.0			Lada track		1000000	VALEO			V	21600.0						3.45	AVO Kunshan	Stamping			ST								In use								A53221007			
ST-2012-01-XX-523					2012	1	523.0			Nidec Magneti Marelli Brush holder		5000000	NIDEC			V	28800.0						3.22	AVO Kunshan	Stamping			ST								In use								N11120001			
ST-2012-01-60-491					2012	1	491.0			BRUSH HOLDER PLATE BUCKSHOT		3000000	No tool owner			V	28800.0						3.22	AVO Monterrey	Stamping			ST								In use								50-0648			
ST-1999-01-80-305					1999	1	305.0			LS BRUSH TRICO 33-0151		3000000	TRICO				43200.0						3.22	AVO Monterrey	Stamping			ST								In use								50-0665			
ST-1999-01-80-306					1999	1	306.0			HS BRUSH TRICO 33-0151		3000000	TRICO				43200.0						3.22	AVO Monterrey	Stamping			ST								In use								50-0666			
ST-2011-01-60-492					2011	1	492.0			TERMINAL TRICO		3000000	TRICO			V	28800.0						3.45	AVO Monterrey	Stamping			ST								In use								53-0707			
ST-2011-01-60-493					2011	1	493.0					0	No tool owner			V								AVO Monterrey	Stamping			ST								In use								50-0713			
ST-2011-01-40-460					2011	1	460.0			DREMEL TERMINAL		5000000	BOSCH			V	43200.0						2.99	AVO Monterrey	Stamping			ST								Mold scraped								53-0714			
ST-2011-01-60-494					2011	1	494.0			CONTACT		2000000	BOSCH			V	28800.0						3.22	AVO Monterrey	Stamping			ST								In use								53-2000			
ST-2011-01-60-495					2011	1	495.0			TERMINAL		2000000	BOSCH			V	28800.0						3.45	AVO Monterrey	Stamping			ST								In use								53-2001			
ST-2011-01-60-496					2011	1	496.0			TERMINAL		2000000	BOSCH			V	28800.0						3.45	AVO Monterrey	Stamping			ST								In use								53-2002			
ST-2008-02-63-307					2008	2	307.0			TERMINAL LEFT 11TA MERIVA		10000000	NIDEC			V	26024.0						2.76	AVO El Fahs	Stamping			ST								In use								AA09116166L, AA09116167M			
TP-2006-04-60-344					2006	4	344.0			CONNECTEUR 11TA P32L (overmolded)		5500000	NIDEC			V	5760.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A989788F			
ST-2006-04-XX-345					2006	4	345.0			Terminal 11TA P32L		6000000	NIDEC			V							3.22	AVO El Fahs	Stamping			ST								In use								A989787B			
TP-2009-04-75-440					2009	4	440.0	12000	EURO	CONNECTEUR DUCATO (Bk)		4000000	NIDEC				6912.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100139			
TP-2004-02-35-207					2004	2	207.0			CONNECTEUR Nidec + Valeo		2000000	NIDEC				3456.0							AVO El Fahs	Thermoplastic Injection			TP																A856526F			
ST-2009-01-XX-441					2009	1	441.0			Terminal DUCATO Nidec + Valeo		10000000	NIDEC			V							2.76	AVO El Fahs	Stamping			ST								Production end								A856514Z			
TP-2002-08-75-186					2002	8	186.0			BASE PLATE		0	HILTI	Cold runner		H	16457.0							AVO El Fahs	Thermoplastic Injection			TP								Mold scraped								A60100316			
TP-2002-04-100-192					2002	4	192.0			Plastic part		0	HILTI			H	16457.0							AVO El Fahs	Thermoplastic Injection			TP								Mold scraped								A60100331			
